Accessible Entrances,Accessible Washrooms,Accessible Parking,Individual Service,Wait Accommodations,location_name,city,website,phone,postal_code,address,province,monday,tuesday,wednesday,thursday,friday,latitude,longitude
No,No,No,No,Yes,Michael Garron Hospital - Emergency Department,Toronto,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,M4C 3E7,825 Coxwell Avenue,ON,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,43.68991,-79.324858
Yes,Yes,Yes,No,Yes,Mount Sinai Hospital,Toronto,https://www.sinaihealth.ca/covid19/,416-586-4800 ext. 4123,M5G 1X5,600 University Avenue,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,43.657575,-79.390096
Yes,Partial: there is a wheelchair-accessible washroom in the asymptomatic testing area,Yes,"No ASL interpretation, yes assassistance navigating the centre",Yes,North York General Hospital - Branson,Toronto,https://nygh.on.ca/covid-19-updates,416-756-6000,M2R 1N5,555 Finch Avenue West,ON,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,43.772477,-79.448125
No,Yes,Yes,Yes,Yes,North York General Hospital - Emergency Department,Toronto,,,M2K 1E1,"4001 Leslie Street, Ambulance Bay",ON,,,,,,43.769147,-79.362744
No,No,No,No,Yes,Scarborough Health Network - Birchmount,Scarborough,https://www.shn.ca/covid19-assess/,"416-495-2601 ",M1W 3W3,3030 Birchmount Road,ON,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,43.801819,-79.309055
No,No,Yes,Yes,Yes,Scarborough Health Network Centenary Site,Scarborough,https://www.shn.ca/covid19-assess/,"416-495-2601 ",M1E 4B9,2867 Ellesmere Road,ON,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,43.780444,-79.20456
Yes,Yes,Yes,Yes,Yes,Sunnybrook Health Sciences Centre,Toronto,https://sunnybrook.ca/content/?page=novel-coronavirus-covid-19-assessment-centre,,M4N 1J8,80 Armistice Drive,ON,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,43.724868,-79.373697
No,No,No,Yes,No,St. Joseph's Health Centre,Toronto,https://unityhealth.to/assessment-centres/,"416-530-6720 ",M6R 1B5,30 The Queensway,ON,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,43.640709,-79.450139
Yes,Yes,No,Yes,No,Milton District Hospital,Milton,https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing,905-203-7963,L9T 9K1,725 Bronte Street South,ON,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,43.497418,-79.868476
No,No,No,Yes,Yes,Oakville Trafalgar Memorial Hospital,Oakville,https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing,905-203-7963,L6M 0L8,3001 Hospital Gate,ON,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,43.450869,-79.763927
No,Yes,No,Yes,Yes,Georgetown Hospital,Georgetown,https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing,905-203-7963,L7G 2B8,1 Princess Anne Drive,ON,,,08:00-16:00,,,43.644985,-79.933321
Yes,Yes,Yes,Yes,Yes,MacKenzie Health,Richmond Hill,https://www.mackenziehealth.ca/en/about-us/get-the-latest-information-on-covid-19.aspx,905-883-1212 ext. 2004,L4C 4Z3,10 Trench Street,ON,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,43.870017,-79.450278
Yes,Yes,No,Yes,No,Southlake Regional Health Centre,Newmarket,https://southlake.ca/,289-803-2199,L3Y 2P3,474 Davis Drive,ON,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,44.05929,-79.458347
Yes,Yes,Yes,No (Except language line for interpretation),It is possible to reserve time slots,Credit Valley – Drive-Thru,Mississauga,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,L5M 2N1,2200 Eglinton Avenue West,ON,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,43.558655,-79.703279
