Accessible Entrances,Accessible Washrooms,Accessible Parking,Individual Service,Wait Accommodations,location_name,city,website,phone,postal_code,address,province,monday,tuesday,wednesday,thursday,friday,latitude,longitude
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
WeCount,WeCount,WeCount,WeCount,WeCount,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
WeCount,WeCount,WeCount,WeCount,WeCount,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
WeCount,WeCount,WeCount,WeCount,WeCount,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
invent,invent,invent,invent,invent,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC
